roll_number,student_name,department,semester,attendance_percentage,classes_attended,classes_missed,absence_streak,late_count,attendance_trend,quiz_average,assignment_average,previous_exam_score,learning_minutes,course_completion,recent_score_trend,final_exam_score,risk_label,engagement_level
S126,Varun Patil,Computer Science & Engineering,6,87.6,39,6,0,2,0.265,98.0,80.4,93.3,431.2,91.4,0.194,86.8,LOW,HIGH
S127,Siddharth Chopra,Computer Science & Engineering,6,90.3,41,4,0,2,0.066,84.1,83.8,76.4,473.6,81.8,0.122,84.9,LOW,HIGH
S128,Karthik Malhotra,Computer Science & Engineering,6,78.0,35,10,0,0,0.242,84.8,98.8,79.3,416.4,89.1,0.395,81.9,LOW,HIGH
S129,Amit Rao,Computer Science & Engineering,6,87.8,40,5,1,1,0.349,84.4,90.5,84.2,650.0,94.7,0.088,91.3,LOW,HIGH
S130,Shreya Iyer,Computer Science & Engineering,6,68.0,31,14,0,1,-0.12,75.1,73.3,68.5,276.2,64.4,0.006,67.2,MEDIUM,MEDIUM
S131,Kunal Bansal,Computer Science & Engineering,6,73.0,33,12,2,4,-0.038,78.0,69.7,63.3,389.8,59.5,0.038,68.6,MEDIUM,MEDIUM
S132,Rohan Reddy,Computer Science & Engineering,6,62.2,28,17,2,4,-0.51,58.4,59.3,68.4,177.0,50.7,-0.236,61.8,HIGH,LOW
S133,Kavita Mehta,Computer Science & Engineering,6,85.8,39,6,1,0,0.262,87.2,92.9,87.3,480.8,82.7,0.376,89.5,LOW,HIGH
S134,Aditi Nair,Computer Science & Engineering,6,68.1,31,14,1,2,0.147,74.0,68.5,73.8,263.5,74.2,0.006,72.5,MEDIUM,MEDIUM
S135,Aakash Verma,Computer Science & Engineering,6,76.0,34,11,2,4,0.147,66.8,68.9,59.3,329.2,72.8,-0.134,70.0,MEDIUM,MEDIUM
S136,Varun Kumar,Computer Science & Engineering,6,90.5,41,4,1,0,0.376,85.9,99.0,88.1,460.4,95.2,0.204,89.1,LOW,HIGH
S137,Aditi Verma,Computer Science & Engineering,6,68.0,31,14,2,1,-0.051,65.9,67.5,68.4,332.1,57.8,-0.008,69.5,MEDIUM,MEDIUM
S138,Harsh Mehta,Computer Science & Engineering,6,83.6,38,7,0,2,0.298,90.3,87.5,78.6,504.2,81.5,0.31,83.5,LOW,HIGH
S139,Kunal Gupta,Computer Science & Engineering,6,69.3,31,14,3,5,-0.344,55.2,58.5,70.0,139.3,65.0,-0.286,64.4,HIGH,LOW
S140,Shreya Rao,Computer Science & Engineering,6,98.0,44,1,0,2,0.434,76.3,82.9,70.2,443.7,92.6,0.099,84.7,LOW,HIGH
S141,Kunal Rao,Computer Science & Engineering,6,64.5,29,16,4,3,-0.203,44.5,52.3,52.5,166.8,40.3,-0.384,54.4,HIGH,LOW
S142,Meera Gupta,Computer Science & Engineering,6,72.6,33,12,1,3,-0.048,67.1,69.4,60.9,237.3,76.6,-0.036,67.3,MEDIUM,MEDIUM
S143,Neha Reddy,Computer Science & Engineering,6,72.8,33,12,0,4,0.121,78.0,74.8,57.3,371.9,64.4,-0.058,70.2,MEDIUM,MEDIUM
S144,Shreya Singh,Computer Science & Engineering,6,84.7,38,7,1,1,0.394,75.3,87.9,74.6,412.9,79.8,0.33,76.5,LOW,HIGH
S145,Arjun Chopra,Computer Science & Engineering,6,79.0,36,9,2,1,0.076,64.6,80.3,55.0,216.1,60.1,0.035,69.2,MEDIUM,MEDIUM
S146,Neha Sharma,Computer Science & Engineering,6,86.1,39,6,1,1,0.409,93.2,87.8,80.2,541.5,78.3,0.119,88.3,LOW,HIGH
S147,Divya Malhotra,Computer Science & Engineering,6,79.5,36,9,0,2,0.311,90.6,84.9,80.4,528.8,82.4,0.349,83.1,LOW,HIGH
S148,Arjun Sharma,Computer Science & Engineering,6,93.8,42,3,0,2,0.18,85.5,82.7,86.8,508.0,96.2,0.369,90.1,LOW,HIGH
S149,Nikhil Joshi,Computer Science & Engineering,6,93.0,42,3,0,2,0.157,80.7,79.3,94.3,355.1,98.2,0.153,87.8,LOW,HIGH
S150,Simran Bansal,Computer Science & Engineering,6,87.8,40,5,0,2,0.255,89.7,93.3,72.5,451.8,82.0,0.096,90.5,LOW,HIGH
S151,Sneha Sharma,Computer Science & Engineering,6,93.5,42,3,1,1,0.281,91.5,89.4,70.1,541.7,90.8,0.122,92.1,LOW,HIGH
S152,Isha Sen,Computer Science & Engineering,6,95.9,43,2,0,0,0.385,93.1,84.0,70.0,420.6,88.9,0.074,87.2,LOW,HIGH
S153,Manish Malhotra,Computer Science & Engineering,6,92.1,41,4,1,1,0.24,83.2,90.0,83.3,428.5,92.2,0.061,88.4,LOW,HIGH
S154,Varun Patel,Computer Science & Engineering,6,46.6,21,24,4,2,-0.392,65.2,51.7,46.4,260.0,54.9,-0.065,50.8,HIGH,LOW
S155,Arjun Rao,Computer Science & Engineering,6,89.1,40,5,0,2,0.343,96.6,90.4,89.6,530.0,90.8,0.137,87.9,LOW,HIGH
S156,Amit Patil,Computer Science & Engineering,6,87.7,39,6,1,1,0.285,71.3,85.3,84.5,444.8,86.8,0.198,81.6,LOW,HIGH
S157,Rahul Gupta,Computer Science & Engineering,6,94.8,43,2,0,1,0.289,70.0,84.4,79.8,493.3,85.1,0.169,83.1,LOW,HIGH
S158,Riya Sen,Computer Science & Engineering,6,74.5,34,11,2,2,-0.008,74.1,70.8,60.3,201.4,66.5,0.158,66.9,MEDIUM,MEDIUM
S159,Sneha Kumar,Computer Science & Engineering,6,72.0,32,13,2,5,-0.218,46.8,54.2,51.7,126.2,35.8,-0.331,52.3,HIGH,LOW
S160,Rahul Iyer,Computer Science & Engineering,6,82.0,37,8,0,1,0.369,87.7,77.8,87.8,492.5,87.1,0.343,82.0,LOW,HIGH
S161,Ananya Chopra,Computer Science & Engineering,6,73.6,33,12,0,2,0.077,65.0,69.0,66.8,301.3,60.6,0.1,66.5,MEDIUM,MEDIUM
S162,Kunal Iyer,Computer Science & Engineering,6,90.4,41,4,0,0,0.265,94.1,97.8,77.7,456.7,89.7,0.279,90.9,LOW,HIGH
S163,Rahul Sen,Computer Science & Engineering,6,87.1,39,6,0,2,0.339,78.8,82.0,81.9,521.7,81.6,0.077,83.2,LOW,HIGH
S164,Varun Deshmukh,Computer Science & Engineering,6,93.9,42,3,0,1,0.279,87.5,99.0,84.9,518.3,94.6,0.136,91.8,LOW,HIGH
S165,Varun Verma,Computer Science & Engineering,6,54.5,25,20,2,4,-0.211,44.4,56.5,55.2,228.3,36.8,-0.386,52.6,HIGH,LOW
S166,Karthik Singh,Computer Science & Engineering,6,90.0,41,4,0,0,0.297,84.2,87.5,87.3,399.0,97.0,0.087,86.9,LOW,HIGH
S167,Simran Malhotra,Computer Science & Engineering,6,90.7,41,4,0,2,0.423,84.3,84.3,83.4,544.4,81.8,0.074,82.7,LOW,HIGH
S168,Tanvi Chauhan,Computer Science & Engineering,6,92.8,42,3,0,1,0.446,80.2,98.5,89.7,583.5,84.2,0.338,90.2,LOW,HIGH
S169,Swati Mehta,Computer Science & Engineering,6,72.0,32,13,0,2,-0.09,72.4,64.6,66.8,352.4,77.9,-0.077,69.7,MEDIUM,MEDIUM
S170,Harsh Sen,Computer Science & Engineering,6,85.2,38,7,0,0,0.435,72.0,83.6,90.1,424.2,83.3,0.354,83.0,LOW,HIGH
S171,Riya Malhotra,Computer Science & Engineering,6,82.2,37,8,0,1,0.131,98.0,96.8,70.0,510.8,86.5,0.389,87.0,LOW,HIGH
S172,Neha Chopra,Computer Science & Engineering,6,47.9,22,23,4,5,-0.521,39.3,63.1,48.9,219.8,42.2,-0.421,48.3,HIGH,LOW
S173,Neha Malhotra,Computer Science & Engineering,6,79.0,36,9,0,1,0.07,65.0,77.6,73.9,303.8,70.4,0.009,71.7,MEDIUM,MEDIUM
S174,Isha Kulkarni,Computer Science & Engineering,6,82.3,37,8,1,0,0.085,82.3,86.5,80.7,436.1,89.2,0.291,80.1,LOW,HIGH
S175,Manish Singh,Computer Science & Engineering,6,85.5,38,7,0,2,0.1,81.1,88.3,88.2,568.6,97.1,0.155,88.6,LOW,HIGH
S176,Karthik Kumar,Computer Science & Engineering,6,90.8,41,4,0,2,0.408,92.6,88.2,96.0,438.6,98.4,0.079,91.0,LOW,HIGH
S177,Harsh Joshi,Computer Science & Engineering,6,53.1,24,21,4,6,-0.254,48.1,72.0,53.2,142.7,52.5,-0.051,54.3,HIGH,LOW
S178,Varun Malhotra,Computer Science & Engineering,6,58.9,27,18,2,2,-0.172,61.1,55.5,65.1,210.3,45.3,-0.233,62.0,HIGH,LOW
S179,Harsh Sharma,Computer Science & Engineering,6,86.0,39,6,0,1,0.289,84.5,90.6,89.9,403.4,78.7,0.213,85.1,LOW,HIGH
S180,Rahul Chauhan,Computer Science & Engineering,6,91.1,41,4,0,1,0.122,86.1,85.3,70.4,477.0,87.1,0.23,87.3,LOW,HIGH
S181,Neha Patel,Computer Science & Engineering,6,70.0,31,14,2,1,-0.177,69.9,82.0,78.8,249.7,65.6,-0.073,71.9,MEDIUM,MEDIUM
S182,Sneha Malhotra,Computer Science & Engineering,6,77.5,35,10,1,1,-0.038,71.9,63.6,62.1,346.0,76.8,0.007,72.7,MEDIUM,MEDIUM
S183,Priya Rao,Computer Science & Engineering,6,89.8,40,5,1,0,0.064,92.4,79.6,86.4,491.5,82.6,0.291,86.5,LOW,HIGH
S184,Isha Patel,Computer Science & Engineering,6,78.0,35,10,0,0,0.306,83.1,93.5,70.0,650.0,82.8,0.06,83.6,LOW,HIGH
S185,Rahul Kulkarni,Computer Science & Engineering,6,70.7,32,13,2,4,-0.128,71.9,76.8,59.5,317.4,71.6,-0.144,71.1,MEDIUM,MEDIUM
S186,Manish Kumar,Computer Science & Engineering,6,85.4,38,7,1,0,0.326,77.0,91.0,74.4,577.9,83.4,0.28,84.0,LOW,HIGH
S187,Nikhil Chopra,Computer Science & Engineering,6,93.0,42,3,1,0,0.094,82.4,94.3,86.9,473.3,92.6,0.365,88.2,LOW,HIGH
S188,Siddharth Bansal,Computer Science & Engineering,6,91.8,41,4,0,1,0.268,75.7,77.1,75.8,573.2,78.7,0.181,81.9,LOW,HIGH
S189,Harsh Bansal,Computer Science & Engineering,6,74.6,34,11,2,3,-0.001,63.8,62.2,69.2,200.0,65.7,0.031,68.4,MEDIUM,MEDIUM
S190,Varun Chauhan,Computer Science & Engineering,6,92.9,42,3,1,2,0.079,84.8,89.3,73.5,451.1,79.6,0.108,86.2,LOW,HIGH
S191,Amit Malhotra,Computer Science & Engineering,6,98.2,44,1,1,1,0.294,85.8,81.1,88.6,421.1,86.7,0.113,86.7,LOW,HIGH
S192,Aditi Iyer,Computer Science & Engineering,6,90.8,41,4,1,1,0.124,83.1,91.8,85.3,343.4,89.5,0.258,91.5,LOW,HIGH
S193,Tanvi Sen,Computer Science & Engineering,6,82.7,37,8,0,1,0.41,87.1,79.5,77.1,436.9,93.4,0.338,85.8,LOW,HIGH
S194,Tanvi Bansal,Computer Science & Engineering,6,51.8,23,22,3,4,-0.159,68.0,41.0,49.6,142.5,38.0,-0.195,50.5,HIGH,LOW
S195,Isha Bansal,Computer Science & Engineering,6,72.1,32,13,0,4,-0.135,69.0,67.2,79.5,403.9,65.6,0.079,71.9,MEDIUM,MEDIUM
S196,Aditi Patil,Computer Science & Engineering,6,85.3,38,7,0,1,0.156,91.3,97.3,70.2,404.8,95.0,0.205,82.6,LOW,HIGH
S197,Karthik Sen,Computer Science & Engineering,6,85.4,38,7,0,1,0.287,85.3,80.4,87.1,398.6,86.9,0.068,80.4,LOW,HIGH
S198,Rahul Sharma,Computer Science & Engineering,6,81.4,37,8,0,1,0.275,77.6,90.8,75.6,484.9,97.5,0.172,80.7,LOW,HIGH
S199,Simran Patil,Computer Science & Engineering,6,85.3,38,7,0,0,0.345,74.9,82.5,87.5,441.1,89.6,0.14,82.8,LOW,HIGH
S200,Meera Kumar,Computer Science & Engineering,6,89.7,40,5,0,1,0.075,82.1,84.6,73.9,387.7,80.7,0.228,81.6,LOW,HIGH
S201,Varun Nair,Computer Science & Engineering,6,89.0,40,5,1,1,0.249,83.4,87.5,81.3,535.1,86.3,0.354,87.4,LOW,HIGH
S202,Riya Mehta,Computer Science & Engineering,6,76.1,34,11,0,1,-0.172,65.4,68.7,68.6,347.3,71.0,0.008,71.5,MEDIUM,MEDIUM
S203,Nikhil Bansal,Computer Science & Engineering,6,70.4,32,13,2,3,-0.048,69.8,69.8,61.1,345.4,70.4,-0.007,68.2,MEDIUM,MEDIUM
S204,Priya Sen,Computer Science & Engineering,6,68.0,31,14,0,2,-0.18,68.3,70.6,58.8,241.9,59.4,-0.08,66.4,MEDIUM,MEDIUM
S205,Siddharth Patil,Computer Science & Engineering,6,91.2,41,4,0,2,0.146,92.9,83.3,79.9,456.7,89.0,0.228,84.2,LOW,HIGH
S206,Priya Joshi,Computer Science & Engineering,6,92.6,42,3,0,2,0.34,81.2,95.0,73.1,560.7,76.3,0.112,93.3,LOW,HIGH
S207,Deepak Gupta,Computer Science & Engineering,6,73.2,33,12,3,1,-0.109,61.7,71.9,72.1,326.0,62.2,-0.0,66.3,MEDIUM,MEDIUM
S208,Rahul Patel,Computer Science & Engineering,6,73.9,33,12,2,4,0.104,71.0,71.3,71.3,328.3,72.6,-0.066,70.9,MEDIUM,MEDIUM
S209,Karthik Nair,Computer Science & Engineering,6,87.9,40,5,0,1,0.305,92.5,83.2,83.2,408.5,88.4,0.308,90.8,LOW,HIGH
S210,Deepak Iyer,Computer Science & Engineering,6,59.0,27,18,2,4,-0.545,41.2,49.3,63.6,153.7,34.5,-0.38,52.8,HIGH,LOW
S211,Siddharth Mehta,Computer Science & Engineering,6,66.9,30,15,2,5,-0.145,57.8,51.8,59.7,171.5,43.8,-0.066,60.7,HIGH,LOW
S212,Simran Iyer,Computer Science & Engineering,6,73.8,33,12,0,3,0.143,76.7,82.0,73.2,349.7,63.2,-0.038,76.1,MEDIUM,MEDIUM
S213,Simran Chauhan,Computer Science & Engineering,6,85.0,38,7,0,1,0.295,75.7,85.7,80.1,498.4,92.9,0.15,82.6,LOW,HIGH
S214,Kavita Malhotra,Computer Science & Engineering,6,89.3,40,5,1,0,0.138,75.6,88.4,81.0,458.1,83.0,0.239,85.8,LOW,HIGH
S215,Gaurav Rao,Computer Science & Engineering,6,89.6,40,5,0,1,0.135,79.6,94.4,82.1,498.5,98.2,0.257,82.4,LOW,HIGH
S216,Rahul Joshi,Computer Science & Engineering,6,88.4,40,5,1,2,0.401,76.2,85.6,91.3,494.8,91.2,0.147,85.7,LOW,HIGH
S217,Karthik Reddy,Computer Science & Engineering,6,60.5,27,18,5,2,-0.301,58.5,45.0,45.1,161.8,36.8,-0.099,56.7,HIGH,LOW
S218,Riya Verma,Computer Science & Engineering,6,86.0,39,6,0,0,0.315,81.3,79.9,88.9,464.6,98.8,0.086,83.8,LOW,HIGH
S219,Varun Gupta,Computer Science & Engineering,6,73.1,33,12,1,3,-0.091,68.7,72.0,77.2,375.8,64.8,0.084,72.1,MEDIUM,MEDIUM
S220,Divya Chauhan,Computer Science & Engineering,6,79.0,36,9,0,3,0.063,64.2,64.1,73.4,364.1,63.0,0.06,69.4,MEDIUM,MEDIUM
